p cnf 612 2360
1 15 -23 0
1 -15 -23 0
-1 15 -23 0
-1 -15 23 0
2 15 -24 0
2 -15 -24 0
-2 15 -24 0
-2 -15 24 0
3 15 -25 0
3 -15 -25 0
-3 15 -25 0
-3 -15 25 0
4 15 -26 0
4 -15 -26 0
-4 15 -26 0
-4 -15 26 0
5 15 -27 0
5 -15 -27 0
-5 15 -27 0
-5 -15 27 0
6 15 -28 0
6 -15 -28 0
-6 15 -28 0
-6 -15 28 0
7 15 -29 0
7 -15 -29 0
-7 15 -29 0
-7 -15 29 0
8 15 -30 0
8 -15 -30 0
-8 15 -30 0
-8 -15 30 0
9 15 -31 0
9 -15 -31 0
-9 15 -31 0
-9 -15 31 0
10 15 -32 0
10 -15 -32 0
-10 15 -32 0
-10 -15 32 0
11 15 -33 0
11 -15 -33 0
-11 15 -33 0
-11 -15 33 0
12 15 -34 0
12 -15 -34 0
-12 15 -34 0
-12 -15 34 0
13 15 -35 0
13 -15 -35 0
-13 15 -35 0
-13 -15 35 0
14 15 -36 0
14 -15 -36 0
-14 15 -36 0
-14 -15 36 0
1 16 -37 0
1 -16 -37 0
-1 16 -37 0
-1 -16 37 0
24 37 -38 0
24 -37 -38 0
-24 37 -38 0
-24 -37 38 0
24 37 -39 0
24 -37 39 0
-24 37 39 0
-24 -37 -39 0
2 16 -40 0
2 -16 -40 0
-2 16 -40 0
-2 -16 40 0
25 40 -41 0
25 -40 -41 0
-25 40 -41 0
-25 -40 41 0
25 40 -42 0
25 -40 42 0
-25 40 42 0
-25 -40 -42 0
3 16 -43 0
3 -16 -43 0
-3 16 -43 0
-3 -16 43 0
26 43 -44 0
26 -43 -44 0
-26 43 -44 0
-26 -43 44 0
26 43 -45 0
26 -43 45 0
-26 43 45 0
-26 -43 -45 0
4 16 -46 0
4 -16 -46 0
-4 16 -46 0
-4 -16 46 0
27 46 -47 0
27 -46 -47 0
-27 46 -47 0
-27 -46 47 0
27 46 -48 0
27 -46 48 0
-27 46 48 0
-27 -46 -48 0
5 16 -49 0
5 -16 -49 0
-5 16 -49 0
-5 -16 49 0
28 49 -50 0
28 -49 -50 0
-28 49 -50 0
-28 -49 50 0
28 49 -51 0
28 -49 51 0
-28 49 51 0
-28 -49 -51 0
6 16 -52 0
6 -16 -52 0
-6 16 -52 0
-6 -16 52 0
29 52 -53 0
29 -52 -53 0
-29 52 -53 0
-29 -52 53 0
29 52 -54 0
29 -52 54 0
-29 52 54 0
-29 -52 -54 0
7 16 -55 0
7 -16 -55 0
-7 16 -55 0
-7 -16 55 0
30 55 -56 0
30 -55 -56 0
-30 55 -56 0
-30 -55 56 0
30 55 -57 0
30 -55 57 0
-30 55 57 0
-30 -55 -57 0
8 16 -58 0
8 -16 -58 0
-8 16 -58 0
-8 -16 58 0
31 58 -59 0
31 -58 -59 0
-31 58 -59 0
-31 -58 59 0
31 58 -60 0
31 -58 60 0
-31 58 60 0
-31 -58 -60 0
9 16 -61 0
9 -16 -61 0
-9 16 -61 0
-9 -16 61 0
32 61 -62 0
32 -61 -62 0
-32 61 -62 0
-32 -61 62 0
32 61 -63 0
32 -61 63 0
-32 61 63 0
-32 -61 -63 0
10 16 -64 0
10 -16 -64 0
-10 16 -64 0
-10 -16 64 0
33 64 -65 0
33 -64 -65 0
-33 64 -65 0
-33 -64 65 0
33 64 -66 0
33 -64 66 0
-33 64 66 0
-33 -64 -66 0
11 16 -67 0
11 -16 -67 0
-11 16 -67 0
-11 -16 67 0
34 67 -68 0
34 -67 -68 0
-34 67 -68 0
-34 -67 68 0
34 67 -69 0
34 -67 69 0
-34 67 69 0
-34 -67 -69 0
12 16 -70 0
12 -16 -70 0
-12 16 -70 0
-12 -16 70 0
35 70 -71 0
35 -70 -71 0
-35 70 -71 0
-35 -70 71 0
35 70 -72 0
35 -70 72 0
-35 70 72 0
-35 -70 -72 0
13 16 -73 0
13 -16 -73 0
-13 16 -73 0
-13 -16 73 0
36 73 -74 0
36 -73 -74 0
-36 73 -74 0
-36 -73 74 0
36 73 -75 0
36 -73 75 0
-36 73 75 0
-36 -73 -75 0
14 16 -76 0
14 -16 -76 0
-14 16 -76 0
-14 -16 76 0
1 17 -77 0
1 -17 -77 0
-1 17 -77 0
-1 -17 77 0
42 77 -78 0
42 -77 -78 0
-42 77 -78 0
-42 -77 78 0
42 77 -79 0
42 -77 79 0
-42 77 79 0
-42 -77 -79 0
38 79 -80 0
38 -79 -80 0
-38 79 -80 0
-38 -79 80 0
38 79 -81 0
38 -79 81 0
-38 79 81 0
-38 -79 -81 0
78 80 -82 0
78 -80 82 0
-78 80 82 0
-78 -80 -82 0
2 17 -83 0
2 -17 -83 0
-2 17 -83 0
-2 -17 83 0
45 83 -84 0
45 -83 -84 0
-45 83 -84 0
-45 -83 84 0
45 83 -85 0
45 -83 85 0
-45 83 85 0
-45 -83 -85 0
41 85 -86 0
41 -85 -86 0
-41 85 -86 0
-41 -85 86 0
41 85 -87 0
41 -85 87 0
-41 85 87 0
-41 -85 -87 0
84 86 -88 0
84 -86 88 0
-84 86 88 0
-84 -86 -88 0
3 17 -89 0
3 -17 -89 0
-3 17 -89 0
-3 -17 89 0
48 89 -90 0
48 -89 -90 0
-48 89 -90 0
-48 -89 90 0
48 89 -91 0
48 -89 91 0
-48 89 91 0
-48 -89 -91 0
44 91 -92 0
44 -91 -92 0
-44 91 -92 0
-44 -91 92 0
44 91 -93 0
44 -91 93 0
-44 91 93 0
-44 -91 -93 0
90 92 -94 0
90 -92 94 0
-90 92 94 0
-90 -92 -94 0
4 17 -95 0
4 -17 -95 0
-4 17 -95 0
-4 -17 95 0
51 95 -96 0
51 -95 -96 0
-51 95 -96 0
-51 -95 96 0
51 95 -97 0
51 -95 97 0
-51 95 97 0
-51 -95 -97 0
47 97 -98 0
47 -97 -98 0
-47 97 -98 0
-47 -97 98 0
47 97 -99 0
47 -97 99 0
-47 97 99 0
-47 -97 -99 0
96 98 -100 0
96 -98 100 0
-96 98 100 0
-96 -98 -100 0
5 17 -101 0
5 -17 -101 0
-5 17 -101 0
-5 -17 101 0
54 101 -102 0
54 -101 -102 0
-54 101 -102 0
-54 -101 102 0
54 101 -103 0
54 -101 103 0
-54 101 103 0
